Date,GPR_OIL,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea
2020-01-01,298.92,264.85,4.93,5.34,11.93,37.77,6.22,2.76,0.0
2020-02-01,82.47,45.78,17.87,9.62,14.95,25.97,6.72,1.88,0.0
2020-03-01,44.85,31.02,13.53,8.49,2.38,5.49,3.51,2.75,0.0
2020-04-01,30.06,20.3,5.17,2.52,2.65,2.09,0.0,7.67,0.0
2020-05-01,61.5,29.03,0.0,7.57,8.24,16.76,3.32,14.82,0.0
2020-06-01,43.13,23.83,14.05,0.0,3.84,20.2,0.0,2.72,0.0
2020-07-01,61.61,32.12,3.67,3.67,8.07,6.91,3.53,23.22,0.0
2020-08-01,63.56,36.38,15.93,1.73,11.79,10.59,0.0,5.56,0.0
2020-09-01,43.91,18.85,10.7,4.36,2.61,11.95,5.08,0.0,0.0
2020-10-01,45.45,16.39,6.24,0.0,2.44,8.98,0.0,20.46,0.0
2020-11-01,49.62,30.65,7.95,2.58,3.49,4.93,3.49,12.44,0.0
2020-12-01,30.88,25.91,0.0,0.0,4.98,0.0,4.98,0.0,0.0
2021-01-01,25.76,12.94,0.0,4.08,4.67,0.0,0.0,8.15,0.0
2021-02-01,15.32,12.54,0.0,0.0,0.0,2.79,0.0,0.0,0.0
2021-03-01,63.47,42.64,4.24,0.0,0.0,10.6,0.0,11.6,0.0
2021-04-01,33.27,13.35,6.59,0.0,0.0,5.04,0.0,5.71,0.0
2021-05-01,47.19,25.85,7.5,0.0,1.76,9.64,1.76,2.44,0.0
2021-06-01,33.52,22.96,10.56,2.74,0.0,0.0,0.0,0.0,0.0
2021-07-01,42.8,12.04,13.95,14.56,2.54,0.0,0.0,14.27,0.0
2021-08-01,27.93,25.53,2.4,0.0,2.4,0.0,0.0,0.0,0.0
2021-09-01,20.05,7.89,5.16,2.58,0.0,7.01,0.0,0.0,0.0
2021-10-01,36.86,16.64,15.12,3.64,9.54,0.0,3.49,2.41,0.0
2021-11-01,40.16,23.67,0.0,5.17,2.61,13.6,2.89,5.12,0.0
2021-12-01,51.49,7.34,33.24,3.36,0.0,13.67,0.0,2.59,0.0
2022-01-01,126.94,23.37,65.35,2.51,0.0,9.08,0.0,49.55,0.0
2022-02-01,411.31,21.14,383.33,48.21,0.0,16.01,5.38,28.53,0.0
2022-03-01,736.13,70.17,720.14,168.19,25.55,12.62,0.0,18.79,0.0
2022-04-01,366.61,30.07,340.43,56.26,7.35,9.21,4.77,13.75,1.88
2022-05-01,258.88,15.71,246.67,29.45,5.08,17.49,6.29,18.24,2.67
2022-06-01,243.27,26.79,225.37,31.12,2.69,21.19,2.54,18.32,0.0
2022-07-01,205.54,65.79,156.14,27.0,6.61,9.19,0.0,15.71,0.0
2022-08-01,132.29,35.65,86.62,24.58,0.0,9.41,0.0,5.52,0.0
2022-09-01,195.38,22.36,175.86,16.99,0.0,7.64,0.0,18.3,7.98
2022-10-01,229.81,74.11,195.3,34.27,9.98,12.22,0.0,21.43,12.41
2022-11-01,136.17,23.25,131.71,9.32,0.0,7.04,1.86,4.49,5.23
2022-12-01,129.52,22.66,114.6,23.07,0.0,0.0,3.64,18.15,5.41
2023-01-01,55.0,18.09,37.41,2.31,0.0,5.91,0.0,5.06,0.0
2023-02-01,156.91,32.75,105.04,2.86,2.69,6.26,2.69,16.23,0.0
2023-03-01,93.95,39.1,58.52,2.52,0.0,0.0,0.0,13.76,0.0
2023-04-01,123.22,30.54,73.96,3.24,0.0,27.19,0.0,20.58,0.0
2023-05-01,99.81,21.96,68.92,0.0,4.04,13.37,4.04,2.82,0.0
2023-06-01,92.09,12.77,82.68,0.0,0.0,3.09,0.0,11.07,0.0
2023-07-01,72.53,5.37,61.17,3.36,3.62,10.62,3.14,0.0,4.48
2023-08-01,146.71,36.96,79.48,1.86,0.0,37.75,15.5,9.47,0.0
2023-09-01,87.43,17.85,51.22,7.39,7.73,12.23,3.19,25.0,0.0
2023-10-01,321.19,277.75,65.75,3.17,0.0,14.68,14.85,17.49,0.0
2023-11-01,115.88,104.47,16.01,3.79,0.0,15.07,0.0,0.0,0.0
2023-12-01,184.15,111.62,43.2,7.82,21.61,34.91,18.89,4.53,0.0
2024-01-01,216.14,136.14,89.07,7.06,0.0,6.4,7.18,3.23,0.0
2024-02-01,147.24,59.01,75.81,12.65,3.64,3.03,3.53,12.8,0.0
2024-03-01,101.9,32.96,68.94,0.0,0.0,1.98,0.0,5.35,0.0
2024-04-01,193.15,142.13,62.53,3.33,0.0,0.0,0.0,16.38,0.0
2024-05-01,143.65,50.68,84.09,3.62,6.41,11.24,0.0,25.39,0.0
2024-06-01,76.76,35.16,37.52,0.0,3.37,14.63,3.37,3.22,0.0
2024-07-01,130.28,41.23,49.81,0.0,27.07,0.0,18.96,15.42,0.0
2024-08-01,240.59,83.46,123.68,11.96,16.49,6.92,5.69,19.87,0.0
2024-09-01,170.45,102.35,85.51,3.69,17.11,3.54,0.0,15.77,0.0
2024-10-01,278.7,233.65,48.91,10.49,3.26,5.69,3.26,11.65,0.0
2024-11-01,155.51,75.87,83.31,22.31,6.64,0.0,0.0,3.92,0.0
2024-12-01,187.66,109.46,80.86,3.14,3.19,4.68,0.0,0.0,0.0
2025-01-01,166.6,64.28,88.32,10.51,0.0,8.02,3.81,11.08,10.03
2025-02-01,151.98,44.37,100.89,39.64,0.0,11.97,9.35,13.15,0.0
2025-03-01,177.96,41.71,103.83,39.86,0.0,19.13,14.19,11.05,0.0
2025-04-01,124.06,48.77,67.43,11.07,0.0,3.37,3.47,10.97,0.0
2025-05-01,117.82,21.64,71.09,13.78,5.01,3.9,6.88,22.92,0.0
2025-06-01,444.64,392.81,62.88,35.11,0.0,9.88,4.83,44.37,0.0
2025-07-01,177.73,55.99,100.04,14.23,0.0,3.82,0.0,66.22,0.0
2025-08-01,168.78,26.9,123.93,42.86,16.71,3.93,21.21,24.59,0.0
2025-09-01,163.08,52.73,94.16,8.14,6.92,4.3,12.21,18.99,0.0
2025-10-01,197.29,10.41,129.87,24.34,42.63,14.35,7.81,13.55,0.0
2025-11-01,162.59,42.68,54.98,14.54,72.46,7.11,13.98,9.56,0.0
2025-12-01,202.27,32.48,47.77,16.65,108.31,19.03,33.07,14.12,0.0
2026-01-01,661.98,157.91,97.02,155.02,471.24,10.84,178.24,54.22,0.0
2026-02-01,255.03,72.18,112.29,80.68,95.96,0.0,68.73,22.15,0.0
2026-03-01,1844.43,1767.74,175.96,332.21,96.87,3.46,50.62,71.55,0.0
2026-04-01,1240.57,1176.56,152.2,237.18,37.9,10.95,17.72,76.7,3.72
2026-05-01,865.72,761.5,120.81,146.92,30.4,0.0,27.08,79.27,0.0
